month,date,worldGdp,worldPopulation,countriesInDebt,medianLegitimacy,medianStability,medianInfrastructure,activeWars,totalFlips,rivalPairs,allyRecords,llmActionsApplied,llmActionsRejected,llmSeconds
0,1946-01-01,549437244724,2294863082,0,46.1,40.94,0.317,0,0,0,0,0,0,0
1,1946-02-01,552277475965,2297560620,0,46.1,41.2,0.3163,0,0,0,0,4,0,75.3
2,1946-03-01,555002035436,2299811656,18,46.1,41.38,0.3176,0,0,0,0,3,1,48.2
3,1946-04-01,557750719832,2302155627,20,46.1,41.45,0.3187,0,0,1,0,6,0,133
4,1946-05-01,560522257459,2304592081,20,46.1,41.5,0.3189,0,0,1,0,4,0,11.2
5,1946-06-01,563315144955,2307123518,20,46.1,41.51,0.3194,0,0,1,0,9,0,19.9
6,1946-07-01,566127693511,2309719023,21,46.1,41.38,0.3202,0,0,6,0,0,0,300.1
7,1946-08-01,568958310185,2312375738,21,46.1,41.27,0.3199,0,0,27,0,5,0,102.4
8,1946-09-01,571806755216,2315089846,21,46.1,41.16,0.3206,0,0,39,0,4,0,54.1
9,1946-10-01,574672340412,2317857417,21,46.1,41.08,0.3213,0,0,50,0,4,0,29
10,1946-11-01,577554506297,2320672855,21,46.1,41.24,0.3221,0,0,51,0,4,0,45.2
11,1946-12-01,580453359547,2323521825,22,46.1,41.22,0.3226,0,0,52,0,5,0,44
12,1947-01-01,583368540720,2326401450,22,46.1,41.12,0.3229,0,0,55,0,6,0,18.7
13,1947-02-01,586301145891,2329310995,22,46.1,41.05,0.3232,0,0,57,0,6,0,17.7
14,1947-03-01,589250825694,2332246862,23,46.1,41.12,0.3236,0,0,60,0,4,0,22.6
15,1947-04-01,592216878866,2335206615,23,46.1,41.19,0.3243,0,0,66,0,8,0,32
16,1947-05-01,595198887537,2338188785,23,46.1,41.21,0.3254,0,0,71,2,5,0,17.4
17,1947-06-01,598196604531,2341191413,23,46.1,41.15,0.3264,0,0,74,4,0,0,55.9
18,1947-07-01,601209813828,2344213358,23,46.1,41.1,0.3268,0,0,76,4,6,0,147.1
19,1947-08-01,604238326272,2347252931,23,46.1,41.04,0.3281,0,0,76,6,6,1,15
20,1947-09-01,607281977855,2350308934,23,46.1,40.97,0.3295,0,0,77,6,0,0,20.2
21,1947-10-01,610340627578,2353380294,23,46.1,40.91,0.331,0,0,81,6,0,0,0.1
22,1947-11-01,613414154562,2356466469,23,46.1,40.85,0.3318,0,0,81,6,0,0,0.1
23,1947-12-01,616502456043,2359566194,23,46.1,40.8,0.333,0,0,83,6,0,0,0.1
24,1948-01-01,619605445615,2362678700,23,46.1,40.75,0.3343,0,0,83,6,0,0,0.1
25,1948-02-01,622723051406,2365803331,23,46.1,40.71,0.3356,0,0,83,6,0,0,0.1
26,1948-03-01,625855219098,2368939709,23,46.1,40.58,0.3367,0,0,84,6,0,0,0.1
27,1948-04-01,629001898845,2372088035,23,46.1,40.59,0.3377,0,0,84,6,0,0,0.1
